Date,Name,3rd west,3rd east in-house density,café in-house density,"café, 3rd, 3rd east in-house density",All in-house density, time,Paid,Community,Social,conference,Twitter impressions,Twitter engagements,FB Daily New Likes,FB Daily Unlikes,FB Daily Page Engaged Users,FB Daily Total Reach,FB Daily Total Impressions,FB Daily Reach of page posts,FB Daily Total Impressions of your posts,FB Daily Total Consumers,FB Daily Page consumptions,FB Daily People Talking About This
18-Jul,Pyxis,"4,517",571,0,"5,088","22,725",6.0,1,1,0,0,0,0,7,1,24,5596,8794,5268,8237,18,43,11
19-Jul,Montreal Cloud Computing Community,"6,790","3,559",0,"10,349","28,194",5.5,0,0,0,0,0,0,2,0,18,3376,4960,3050,4507,12,54,6
20-Jul,JuntoMTL,"8,146","3,256",0,"11,402","29,537",6.0,0,0,0,0,2100,14,1,0,30,3827,5837,3751,5720,28,54,4
21-Jul,Videotron,"5,317",47,0,"5,364","21,446",8.5,0,0,0,0,1385,4,0,0,56,2178,3581,1961,3117,50,80,11
22-Jul,0,"2,357",90,0,"2,447","16,650",0.0,0,0,0,0,982,13,3,0,49,2113,3781,2011,3615,41,150,11
23-Jul,0,635,30,0,665,"1,551",0.0,0,0,0,0,0,0,4,0,14,517,759,463,664,10,13,6
24-Jul,0,51,17,0,68,802,0.0,0,0,0,0,0,0,2,0,5,97,156,34,68,2,10,3
25-Jul,Pyxis,"3,243",379,0,"3,622","22,373",4.0,1,0,0,0,0,0,5,1,481,10513,18826,10427,18639,439,854,99
26-Jul,0,"2,384",887,0,"3,271","18,752",0.0,0,0,0,0,1660,9,3,0,75,6444,9705,6398,9578,68,259,13
27-Jul,Startup Drinks,"11,511",304,0,"11,815","35,035",6.5,1,0,0,0,0,0,6,1,20,5328,10013,5282,9884,9,29,13
28-Jul,0,"2,532",97,0,"2,629","15,836",0.0,0,0,0,0,1133,6,1,0,16,4902,9357,4859,9290,12,26,4
29-Jul,0,"2,677",52,0,"2,729","10,465",0.0,0,0,0,0,1104,18,1,0,33,4505,6670,4487,6645,23,37,11
30-Jul,0,104,60,0,164,"1,662",0.0,0,0,0,0,0,0,3,0,9,1406,1627,1390,1599,6,44,5
31-Jul,0,81,9,0,90,"1,690",0.0,0,0,0,0,0,0,1,1,2,40,68,12,17,2,38,1
1-Aug,Pyxis,"2,257",474,0,"2,731","16,789",4.0,1,0,0,0,4425,28,3,0,26,2431,3941,2341,3742,19,35,7
2-Aug,0,"3,954",195,0,"4,149","19,067",0.0,0,0,0,0,0,0,7,0,23,4551,7472,4391,7136,17,50,10
3-Aug,0,"3,384",77,0,"3,461","14,597",0.0,0,0,0,0,0,0,5,1,25,4010,6147,3880,5836,17,298,12
4-Aug,0,"3,718","1,396",0,"5,114","15,215",0.0,0,0,0,0,0,0,2,0,6,3309,4351,3240,4256,1,1,4
5-Aug,0,677,"1,285",0,"1,962","5,106",0.0,0,0,0,0,4074,30,2,1,24,278,637,162,348,11,20,14
6-Aug,0,190,0,0,190,"2,602",0.0,0,0,0,0,0,0,0,0,6,85,135,44,69,3,20,3
7-Aug,0,763,13,0,776,"3,821",0.0,0,0,0,0,0,0,0,0,19,778,1429,769,1403,15,17,4
8-Aug,Pyxis,"6,518",568,0,"7,086","26,339",4.0,1,0,0,0,0,0,3,2,17,392,667,335,575,10,38,7
9-Aug,0,"8,030",471,0,"8,501","27,688",0.0,0,0,0,0,3150,92,2,0,23,2942,4858,2912,4798,17,73,11
10-Aug,PWN School,"9,978","3,513","2,468","15,959","34,746",7.0,1,2,0,0,1736,14,5,0,47,2937,6557,2912,6466,36,57,13
11-Aug,LOOP UX,"5,353","2,288","1,729","9,370","23,995",6.5,1,1,0,1,1626,51,4,0,60,2648,5401,2619,5335,48,230,18
12-Aug,0,"5,358",200,"1,521","7,079","21,287",0.0,0,0,0,0,872,10,6,0,59,2573,4598,2531,4496,46,95,19
13-Aug,0,"1,281",3,0,"1,284","2,158",0.0,0,0,0,0,0,0,1,0,18,2892,4993,2863,4952,15,37,3
14-Aug,0,"1,557",417,18,"1,992","5,763",0.0,0,0,0,0,0,0,2,0,19,3294,5383,3090,5147,15,23,5
15-Aug,MontreHack,"7,021","1,677",726,"9,424","32,801",7.0,0,1,0,0,932,11,2,0,24,3216,5312,3122,5170,16,28,7
16-Aug,NorthStrategic (AirMiles),"7,758","2,133","1,923","11,814","45,730",12.0,0,2,0,1,1116,3,0,1,17,443,873,322,624,11,29,5
17-Aug,React Native,"7,602",700,"2,712","11,014","27,455",11.0,0,1,0,0,3265,23,3,0,25,480,1067,414,927,16,43,11
18-Aug,BDC Capital,"2,184","8,773","1,858","12,815","36,163",5.0,0,1,0,1,0,0,2,0,22,445,944,404,860,16,38,6
19-Aug,Hack the House,"6,806","5,484",934,"13,224","33,001",14.0,1,1,0,0,911,7,2,1,22,3690,5869,3672,5811,13,188,9
20-Aug,Hack the House,"21,176","1,915",134,"23,225","31,124",14.0,0,1,0,0,0,0,2,0,16,3989,6548,3954,6501,10,39,7
21-Aug,Hack the House,"12,665",18,407,"13,090","19,038",9.0,1,1,0,0,1983,45,2,0,10,4837,8702,4806,8665,5,13,5
